// Item Group Database
//
// Structure of Database:
// GroupID,ItemID,Rate{,Amount,Random,isAnnounced,Duration,GUID,isBound,isNamed}


//New Spin Box
IG_S2WBOX,909,1


//Modification Moodule Box
//common
IG_Modification_Moodule,25670,9          //Modification Module (Defense),
IG_Modification_Moodule,25671,9          //Modification Module (Magic Defense
IG_Modification_Moodule,25672,9          //Modification Module (Vit),
IG_Modification_Moodule,25673,9          //Modification Module (Luk),
IG_Modification_Moodule,25674,9          //Modification Module (Str),
IG_Modification_Moodule,25675,9          //Modification Module (Agi),
IG_Modification_Moodule,25676,9          //Modification Module (Int),
IG_Modification_Moodule,25677,9          //Modification Module (Dex),
//rare
IG_Modification_Moodule,25678,6          //Modification Module (HP recovery
IG_Modification_Moodule,25679,6          //Modification Module (SP recovery
IG_Modification_Moodule,25680,6          //Modification Module (Spell),
IG_Modification_Moodule,25681,6          //Modification Module (Attack Speed
IG_Modification_Moodule,25682,6          //Modification Module (Fatal),
IG_Modification_Moodule,25683,6          //Modification Module (Expert Archer
IG_Modification_Moodule,25684,6          //Modification Module (Vital),
IG_Modification_Moodule,25685,6          //Modification Module (Mental),
IG_Modification_Moodule,25686,6          //Modification Module (Heal),
IG_Modification_Moodule,25687,6          //Modification Module (Power),
IG_Modification_Moodule,25688,6          //Modification Module (Magic),
IG_Modification_Moodule,25689,6          //Modification Module (Shooter),
IG_Modification_Moodule,25690,6          //Modification Module (Fast),
IG_Modification_Moodule,25691,6          //Modification Module (Caster),
IG_Modification_Moodule,25692,6          //Modification Module (Critical),
//Unique
IG_Modification_Moodule,25693,3          //Modification Module (Delay after
IG_Modification_Moodule,25694,3          //Modification Module (Fixed Casting
IG_Modification_Moodule,25695,3          //Modification Module (Above All
IG_Modification_Moodule,25696,4       //Modification Module (Drain Life
IG_Modification_Moodule,25697,4       //Modification Module (Drain Soul
IG_Modification_Moodule,25698,4       //Modification Module (Magic Healing
IG_Modification_Moodule,25699,4       //Modification Module (Magic Soul
//Legendary
IG_Modification_Moodule,25700,1          //Modification Module (Unlimited Vital
IG_Modification_Moodule,25701,1          //Modification Module (Spell Buster
IG_Modification_Moodule,25702,1          //Modification Module (Firing Shot
IG_Modification_Moodule,25703,1          //Modification Module (Overpower),
IG_Modification_Moodule,25704,1          //Modification Module (Fatal Flash
IG_Modification_Moodule,25705,1          //Modification Module (Lucky Strike


//IG_OS_WEAPON
IG_OS_WEAPON,18180,1        //
IG_OS_WEAPON,21047,1        //
IG_OS_WEAPON,28136,1        //
IG_OS_WEAPON,32019,1        //
IG_OS_WEAPON,1862,1         //
IG_OS_WEAPON,13493,1        //
IG_OS_WEAPON,28629,1        //
IG_OS_WEAPON,26164,1        //
IG_OS_WEAPON,28253,1        //
IG_OS_WEAPON,28755,1        //
IG_OS_WEAPON,28038,1        //
IG_OS_WEAPON,18179,1        //
IG_OS_WEAPON,26151,1        //
IG_OS_WEAPON,16088,1        //
IG_OS_WEAPON,16089,1        //
IG_OS_WEAPON,18178,1        //




IG_racing_cap,19189,1       //Racing_Cap_MC
IG_racing_cap,19190,1       //Racing_Cap_GN
IG_racing_cap,19191,1       //Racing_Cap_GC
IG_racing_cap,19192,1       //Racing_Cap_SC
IG_racing_cap,19193,1       //Racing_Cap_WL
IG_racing_cap,19194,1       //Racing_Cap_SO
IG_racing_cap,19195,1       //Racing_Cap_RK
IG_racing_cap,19196,1       //Racing_Cap_RG
IG_racing_cap,19197,1       //Racing_Cap_AB
IG_racing_cap,19198,1       //Racing_Cap_SR
IG_racing_cap,19199,1       //Racing_Cap_RA
IG_racing_cap,19200,1       //Racing_Cap_MI
IG_racing_cap,19201,1       //Racing_Cap_WA
IG_racing_cap,19202,1       //Racing_Cap_GS
IG_racing_cap,19203,1       //Racing_Cap_NJ
IG_racing_cap,19204,1       //Racing_Cap_SN
IG_racing_cap,19205,1       //Racing_Cap_SU
IG_racing_cap,19396,1       //Racing_Cap_SG
IG_racing_cap,19397,1       //Racing_Cap_SL

IG_Bs_Making_S,23818,1      //Bs_Item_M_S_2,Giant Orc Helm Combination,11
IG_Bs_Making_S,23819,1      //Bs_Item_M_S_8,Scarlet Rose Combination,11,,,
IG_Bs_Making_S,23820,1      //Bs_Item_M_S_10,Grand Peco Headdress Combination,11
IG_Bs_Making_S,23821,1      //Bs_Item_M_S_11,Moonlight Flower Hat Combination,11
IG_Bs_Making_S,23822,1      //Bs_Item_M_S_34,8 Forms Purgatory Wing Combination
IG_Bs_Making_S,23823,1      //Bs_Item_M_S_41,Drooping Neko Crew Combination Scroll
IG_Bs_Making_S,23824,1      //Bs_Item_M_S_42,Glory FB Hat Combination Scroll
IG_Bs_Making_S,23825,1      //Bs_Item_M_S_43,Evil Marching Hat Combination Scroll
IG_Bs_Making_S,23826,1      //Bs_Item_M_S_44,Wandering Wolf Helm Combination Scroll
IG_Bs_Making_S,23832,1      //Bs_Item_M_S_4,Amistr Cap Combination Scroll,11
IG_Bs_Making_S,23833,1      //Bs_Item_M_S_6,King Tiger Doll Hat Combination
IG_Bs_Making_S,23834,1      //Bs_Item_M_S_7,Zaha Doll Hat Combination Scroll
IG_Bs_Making_S,23835,1      //Bs_Item_M_S_12,Candy Bag Backpack Combination Scroll
IG_Bs_Making_S,23836,1      //Bs_Item_M_S_13,Golden Fish Head Cap Combination
// IG_Bs_Making_S,23837,1      //Bs_Item_M_S_15,Survivor's Combination Scroll,11
IG_Bs_Making_S,23838,1      //Bs_Item_M_S_28,Toy Syringe Combination Scroll,11
IG_Bs_Making_S,23839,1      //Bs_Item_M_S_29,Indigo Rear Ribbon Combination Scroll
IG_Bs_Making_S,23840,1      //Bs_Item_M_S_31,Magical Booster Combination Scroll,11
IG_Bs_Making_S,23841,1      //Bs_Item_M_S_32,Rosario Necklace Combination Scroll,11
IG_Bs_Making_S,23842,1      //Bs_Item_M_S_33,Elemental Crown Combination Scroll,11
IG_Bs_Making_S,23843,1      //Bs_Item_M_S_36,Palace Guard's Cap Combination
IG_Bs_Making_S,23844,1      //Bs_Item_M_S_37,Bandit's Hood Combination Scroll
IG_Bs_Making_S,23845,1      //Bs_Item_M_S_38,Fallen Angel Blessing Combination Scroll
IG_Bs_Making_S,23846,1      //Bs_Item_M_S_39,Rabbit Magic Hat Combination Scroll
IG_Bs_Making_S,23847,1      //Bs_Item_M_S_40,Anubis Helm Combination Scroll,11
IG_Bs_Making_S,23848,1      //Bs_Item_M_S_45,Imp Hat Combination Scroll,11
IG_Bs_Making_S,23849,1      //Bs_Item_M_S_46,Holy Marching Hat Combination Scroll
IG_Bs_Making_S,23850,1      //Bs_Item_M_S_47,Mask Of Ifrit Combination Scroll
IG_Bs_Making_S,23851,1      //Bs_Item_M_S_48,Drooping Morocc Minion Combination Scroll
IG_Bs_Making_S,23852,1      //Bs_Item_M_S_49,Samambaia Combination Scroll,11,,,
