// Item Trade Restrictions Database
// Defines special trade rules for individual items.
//
// Structure of Database:
// Item ID, TradeMask,Group Level Override
//
// Legend for 'TradeMask' field (bitmask):
// 1   - item can't be dropped
// 2   - item can't be traded (nor vended)
// 4   - wedded partner can override restriction 2
// 8   - item can't be sold to npcs
// 16  - item can't be placed in the cart
// 32  - item can't be placed in the storage
// 64  - item can't be placed in the guild storage
// 128 - item can't be attached to mail
// 256 - item can't be auctioned
//
// Example:
// 1161,67,50
//	Balmung cannot be dropped, traded, or placed in Guild Storage (1+2+64).
//	Only groups of group-level 50 and up can override this setting.

50054,479,100
50055,479,100
50056,479,100
50057,479,100
50058,479,100
50059,479,100
//50009,503,100// Instance_coin
50051,499,100
50052,499,100
50053,499,100
50060,499,100
60016,503,100
// 60040,503,100 // halloween_coin
60092,503,100

//
25268,243,100	// Sticky_Blood
25269,243,100	// Mushroom_Sap
25270,243,100	// Wavy_Mane
60030,511,100	// yggdrasil_event_ring

//bg
13042,467,100
13416,467,100
13418,467,100
1187,467,100
1426,467,100
1486,467,100
2002,467,100
1640,467,100
1641,467,100
1546,467,100
1310,467,100
1382,467,100
13307,467,100
1743,467,100
1281,467,100
1282,467,100
1927,467,100
1981,467,100
1576,467,100
1577,467,100
1826,467,100
1827,467,100
13110,467,100
13176,467,100
13177,467,100
13178,467,100
13179,467,100
13036,467,100
13037,467,100
13411,467,100
13410,467,100
1183,467,100
1184,467,100
1425,467,100
1632,467,100
1633,467,100
1634,467,100
1635,467,100
1543,467,100
1542,467,100
1380,467,100
1379,467,100
13305,467,100
13306,467,100
1739,467,100
1738,467,100
1279,467,100
1280,467,100
1924,467,100
1923,467,100
1978,467,100
1977,467,100
1574,467,100
1575,467,100
1824,467,100
1823,467,100
13108,467,100
13171,467,100
13172,467,100
13173,467,100
13174,467,100
2394,467,100
2549,467,100
2444,467,100
2772,467,100
2395,467,100
2445,467,100
2773,467,100
2396,467,100
2446,467,100
2774,467,100
2538,467,100
2539,467,100
2540,467,100
2435,467,100
2436,467,100
2437,467,100
2376,467,100
2377,467,100
2378,467,100
2379,467,100
2380,467,100
2381,467,100
2382,467,100
2733,467,100
2720,467,100
2721,467,100
2722,467,100
2723,467,100
2724,467,100
2725,467,100
